RX Date/Time,Group/Time,Group/New Plot
2025/11/16 23:44:46::240,665099440,273.234
2025/11/16 23:44:46::240,665099442,274.040
2025/11/16 23:44:46::240,665099445,275.652
2025/11/16 23:44:46::240,665099448,274.846
2025/11/16 23:44:46::240,665099450,276.458
2025/11/16 23:44:46::240,665099459,270.010
2025/11/16 23:44:46::240,665099461,267.592
2025/11/16 23:44:46::240,665099464,271.622
2025/11/16 23:44:46::240,665099466,275.652
2025/11/16 23:44:46::240,665102403,232.934
2025/11/16 23:44:46::240,665102405,243.412
2025/11/16 23:44:46::240,665102408,249.860
2025/11/16 23:44:46::240,665102411,257.114
2025/11/16 23:44:46::240,665102413,259.532
2025/11/16 23:44:46::240,665102416,264.368
2025/11/16 23:44:46::240,665102418,267.592
2025/11/16 23:44:46::240,665102421,268.398
2025/11/16 23:44:46::240,665102424,271.622
2025/11/16 23:44:46::240,665102426,272.428
2025/11/16 23:44:46::240,665102429,273.234
2025/11/16 23:44:46::240,665102431,272.428
2025/11/16 23:44:46::240,665102434,271.622
2025/11/16 23:44:46::240,665102437,279.682
2025/11/16 23:44:46::240,665102439,269.204
2025/11/16 23:44:46::240,665102442,279.682
2025/11/16 23:44:46::240,665102445,279.682
2025/11/16 23:44:46::240,665102447,279.682
2025/11/16 23:44:46::240,665102450,278.876
2025/11/16 23:44:46::240,665102458,271.622
2025/11/16 23:44:46::240,665105395,241.800
2025/11/16 23:44:46::240,665105397,249.860
2025/11/16 23:44:46::240,665105400,255.502
2025/11/16 23:44:46::240,665105403,261.144
2025/11/16 23:44:46::240,665105405,265.980
2025/11/16 23:44:46::240,665105408,266.786
2025/11/16 23:44:46::240,665105410,269.204
2025/11/16 23:44:46::240,665105413,272.428
2025/11/16 23:44:46::240,665105416,266.786
2025/11/16 23:44:46::240,665105418,279.682
2025/11/16 23:44:46::240,665105421,274.846
2025/11/16 23:44:46::240,665105423,278.876
2025/11/16 23:44:46::240,665105426,277.264
2025/11/16 23:44:46::240,665105429,278.070
2025/11/16 23:44:46::240,665105431,279.682
2025/11/16 23:44:46::240,665105434,280.488
2025/11/16 23:44:46::240,665105437,279.682
2025/11/16 23:44:46::240,665105439,280.488
2025/11/16 23:44:46::240,665105442,278.876
2025/11/16 23:44:46::240,665105445,280.488
2025/11/16 23:44:46::240,665108393,240.188
2025/11/16 23:44:46::240,665108395,249.860
2025/11/16 23:44:46::240,665108398,255.502
2025/11/16 23:44:46::240,665108400,259.532
2025/11/16 23:44:46::240,665108403,264.368
2025/11/16 23:44:46::240,665108406,266.786
2025/11/16 23:44:46::240,665108408,264.368
2025/11/16 23:44:46::240,665108411,272.428
2025/11/16 23:44:46::240,665108414,277.264
2025/11/16 23:44:46::240,665108416,278.070
2025/11/16 23:44:46::240,665108419,278.070
2025/11/16 23:44:46::240,665108422,278.876
2025/11/16 23:44:46::240,665108424,278.876
2025/11/16 23:44:46::240,665108427,278.876
2025/11/16 23:44:46::240,665108429,279.682
2025/11/16 23:44:46::241,665108432,278.876
2025/11/16 23:44:46::241,665108435,278.070
2025/11/16 23:44:46::241,665108437,280.488
2025/11/16 23:44:46::241,665108440,280.488
2025/11/16 23:44:46::241,665108443,280.488
2025/11/16 23:44:46::242,665111397,233.740
2025/11/16 23:44:46::242,665111399,242.606
2025/11/16 23:44:46::242,665111402,249.054
2025/11/16 23:44:46::242,665111405,255.502
2025/11/16 23:44:46::242,665111407,261.144
2025/11/16 23:44:46::242,665111410,264.368
2025/11/16 23:44:46::242,665111413,265.980
2025/11/16 23:44:46::243,665111415,268.398
2025/11/16 23:44:46::243,665111418,270.816
2025/11/16 23:44:46::243,665111420,265.980
2025/11/16 23:44:46::243,665111423,274.846
2025/11/16 23:44:46::243,665111426,278.876
2025/11/16 23:44:46::243,665111428,274.040
2025/11/16 23:44:46::243,665111431,277.264
2025/11/16 23:44:46::243,665111434,279.682
2025/11/16 23:44:46::243,665111436,278.070
2025/11/16 23:44:46::243,665111439,278.876
2025/11/16 23:44:46::243,665111442,278.876
2025/11/16 23:44:46::243,665111444,279.682
2025/11/16 23:44:46::243,665111447,278.876
2025/11/16 23:44:46::245,665114395,211.172
2025/11/16 23:44:46::245,665114398,223.262
2025/11/16 23:44:46::245,665114400,229.710
2025/11/16 23:44:46::245,665114403,242.606
2025/11/16 23:44:46::245,665114405,248.248
2025/11/16 23:44:46::245,665114408,254.696
